index,quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,type,free et sulfur dioxid
0,5,0.14876033057851235,0.4099999999999999,0.03614457831325301,0.09509202453987729,0.054908485856905165,0.027777777777777776,0.13900134952766408,0.5511811023622046,0.12359550561797754,0.3188405797101448,0,0.21951219512195122
1,5,0.4132231404958677,0.3533333333333333,0.08433734939759038,0.02760736196319018,0.09650582362728787,0.03125,0.1887410834779253,0.35433070866141714,0.20786516853932585,0.21739130434782616,1,0.08841463414634146
2,5,0.33884297520661155,0.08666666666666666,0.2349397590361446,0.02147239263803681,0.07986688851913479,0.06944444444444443,0.08964719491035211,0.24409448818897594,0.16853932584269665,0.42028985507246386,0,0.34756097560975613
3,6,0.2644628099173554,0.08666666666666666,0.18674698795180725,0.08282208588957055,0.06156405990016639,0.09722222222222221,0.13090418353576183,0.4094488188976375,0.15730337078651685,0.4057971014492754,0,0.23170731707317074
4,6,0.3305785123966941,0.21333333333333332,0.15662650602409642,0.13650306748466257,0.08319467554076539,0.10763888888888888,0.16175053017158447,0.23622047244094446,0.11797752808988764,0.42028985507246386,0,0.43597560975609756
5,6,0.18181818181818177,0.07333333333333332,0.22289156626506026,0.13957055214723926,0.03826955074875208,0.05555555555555555,0.11740890688259142,0.26771653543307083,0.24719101123595505,0.5797101449275364,0,0.09146341463414634
6,5,0.1900826446280991,0.09333333333333334,0.29518072289156627,0.013803680981595092,0.06988352745424292,0.059027777777777776,0.10969732022363843,0.44094488188976344,0.1348314606741573,0.2318840579710144,0,0.20121951219512196
7,6,0.2727272727272727,0.19999999999999996,0.2530120481927711,0.17177914110429449,0.05324459234608968,0.10763888888888888,0.17601696549064982,0.23622047244094446,0.15168539325842695,0.28985507246376807,0,0.4817073170731707
8,5,0.2479338842975206,0.10666666666666665,0.18674698795180725,0.2714723926380368,0.06156405990016639,0.13541666666666669,0.24850588008482788,0.44094488188976344,0.10674157303370786,0.10144927536231885,0,0.3018292682926829
9,5,0.2479338842975206,0.20666666666666667,0.21084337349397592,0.1687116564417178,0.05823627287853578,0.19444444444444445,0.2051282051282044,0.2598425196850389,0.17415730337078655,0.18840579710144945,0,0.4878048780487805
10,6,0.3471074380165289,0.06666666666666667,0.22289156626506026,0.004601226993865032,0.06655574043261232,0.12152777777777778,0.05706574127626851,0.11811023622047223,0.12359550561797754,0.681159420289855,1,0.21341463414634146
11,7,0.19834710743801653,0.05333333333333333,0.1987951807228916,0.007668711656441719,0.07986688851913479,0.06944444444444443,0.07499518025833751,0.4566929133858264,0.1348314606741573,0.42028985507246386,0,0.17682926829268292
12,7,0.28925619834710736,0.16666666666666669,0.24096385542168677,0.09585889570552146,0.048252911813643926,0.10763888888888888,0.09427414690572533,0.22834645669291298,0.044943820224719086,0.5652173913043479,0,0.31402439024390244
13,5,0.2727272727272727,0.15333333333333332,0.10240963855421688,0.006134969325153375,0.054908485856905165,0.06944444444444443,0.11432427221901165,0.30708661417322825,0.10112359550561799,0.2318840579710144,0,0.36585365853658536
14,5,0.7190082644628099,0.19999999999999996,0.3614457831325301,0.03067484662576687,0.11980033277870218,0.10416666666666666,0.24079429342587488,0.2834645669291338,0.28651685393258425,0.3623188405797102,1,0.11585365853658536
15,5,0.3305785123966941,0.2733333333333333,0.29518072289156627,0.09815950920245399,0.05657237936772046,0.09722222222222221,0.15596684017736706,0.3700787401574801,0.06179775280898876,0.28985507246376807,0,0.3567073170731707
16,5,0.4132231404958677,0.1933333333333333,0.2891566265060241,0.023006134969325156,0.14642262895174696,0.13194444444444445,0.2003084634663601,0.23622047244094446,0.45505617977528096,0.18840579710144945,1,0.31402439024390244
17,7,0.22314049586776852,0.13333333333333336,0.15060240963855423,0.06441717791411042,0.033277870216305995,0.1840277777777778,0.06998264893001505,0.3385826771653542,0.12359550561797754,0.6086956521739129,0,0.21646341463414634
18,6,0.36363636363636354,0.09999999999999999,0.24096385542168677,0.1058282208588957,0.06655574043261232,0.03819444444444444,0.18295739348371143,0.25196850393700787,0.34831460674157305,0.24637681159420288,0,0.18597560975609756
19,6,0.2479338842975206,0.15333333333333332,0.15060240963855423,0.151840490797546,0.05657237936772046,0.10069444444444443,0.1945247734721427,0.48818897637795233,0.1853932584269663,0.36956521739130443,0,0.4024390243902439
20,5,0.31404958677685946,0.15333333333333332,0.15662650602409642,0.01687116564417178,0.1064891846921797,0.13541666666666669,0.1289762868710227,0.2834645669291338,0.1348314606741573,0.26086956521739135,0,0.34756097560975613
21,5,0.28099173553719003,0.32,0.15662650602409642,0.02147239263803681,0.1231281198003328,0.041666666666666664,0.16869095816464252,0.4094488188976375,0.16853932584269665,0.2753623188405798,1,0.25609756097560976
22,6,0.2727272727272727,0.08666666666666666,0.1987951807228916,0.00920245398773006,0.04991680532445923,0.11458333333333333,0.0773086562560259,0.29133858267716484,0.29775280898876405,0.4637681159420288,0,0.18292682926829268
23,6,0.3223140495867768,0.4233333333333333,0.006024096385542169,0.023006134969325156,0.09151414309484193,0.10416666666666666,0.12724117987275818,0.5275590551181102,0.19662921348314605,0.5507246376811596,1,0.027439024390243906
24,5,0.42148760330578505,0.44666666666666666,0.08433734939759038,0.02914110429447853,0.1281198003327787,0.027777777777777776,0.21457489878542546,0.47244094488188937,0.2359550561797753,0.3623188405797102,1,0.054878048780487805
25,8,0.23140495867768585,0.13999999999999996,0.18674698795180725,0.05061349693251534,0.029950083194675542,0.13194444444444445,0.062463851937536674,0.393700787401575,0.2134831460674157,0.6666666666666667,0,0.16463414634146342
26,5,0.20661157024793386,0.15333333333333332,0.20481927710843376,0.024539877300613498,0.059900166389351084,0.06597222222222222,0.10776942355889929,0.44094488188976344,0.11797752808988764,0.3188405797101448,0,0.16463414634146342
